"ID","Nov2rep1","Nov3rep1","Nov6rep1","Nov9rep1","Nov10rep1","Nov11rep1","Nov12rep1","Nov13rep1","Nov16rep1","Nov17rep1","Nov18rep1","Nov19rep1","Nov20rep1","Nov24rep1","Nov25rep1","Nov26rep1","Nov27rep1","Dec1rep1","Dec2rep1","Dec3rep1","Dec7rep1","Dec8rep1","Dec9rep1","Dec10rep1","Dec11rep1","Dec14rep1","Dec15rep1","Dec16rep1","Dec17rep1","Dec18rep1","Dec21rep1","Dec23rep1","Jan4rep1","Jan5rep1","Jan6rep1","Jan7rep1","Jan11rep1","Jan12rep1","Jan13rep1","Jan14rep1","Jan15rep1","Jan18rep1","Jan19rep1","Jan20rep1","Jan21rep1","Jan25rep1","Jan26rep1","Jan27rep1","Jan28rep1","Jan29rep1","Feb1rep1","Feb2rep1","Feb3rep1","Feb4rep1","Feb5rep1","Feb8rep1","Feb9rep1","Feb11rep1","Feb12rep1","Feb15rep1","Feb16rep1","Feb18rep1","Feb19rep1","Feb22rep1","Feb23rep1","Feb25rep1","Feb26rep1","Feb29rep1","Mar2rep1","Mar3rep1","Mar4rep1","Mar7rep1","Mar8rep1","Mar9rep1","Mar10rep1","Mar11rep1","Mar14rep1","Mar15rep1","Mar21rep1","Mar22rep1","Mar23rep1","Mar24rep1","Mar28rep1","Apr18rep1"
"OTU_474",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,4,0,2,0,1,0,0,0,1,0,0,1,1,3,1,1,2,1,1,1,4,1,0,1,1,3,0,1,0,1,1,1,2,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"OTU_280",0,1,0,2,3,5,1,1,2,2,2,1,3,0,0,1,2,2,3,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,2,2,1,0,1,4,1
"OTU_487",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,3,1,2,1,3,3,1,0,1,0,3,2,2,3,4,4,1,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_412",0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,4,0,2,0,1,0,0,1,0,3,1,0,0,0,2,2,1,1,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"OTU_400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0,1,1,0,2,1,0,1,1,1,0,2,0,3,4,2,1,3,2,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_517",0,0,1,0,1,0,1,2,0,1,0,2,1,3,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2,2,1,1,0,0,0,1,4,0,2,1,0,0,0,3,0
"OTU_414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,4,3,4,5,3,5,2,6,14,0,1,0,1,0
"OTU_19269",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,1,0,0,0,2,2,0,1,0,1,0,2,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_160",2,0,2,1,0,1,1,2,2,6,2,1,1,1,1,3,2,2,3,4,0,1,2,3,8,1,3,0,0,2,7,4,2,4,1,0,9,3,3,3,2,5,1,1,0,2,2,1,3,2,7,3,5,0,3,3,3,2,4,8,7,5,12,15,11,4,9,5,9,3,5,3,2,8,6,3,5,2,3,0,0,0,1,0
"OTU_12557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,1,1,0,2,1,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,2,3,0,0,0
"OTU_108",9,9,2,10,22,27,17,15,11,10,8,13,15,1,3,1,0,0,0,1,0,2,0,0,0,2,0,3,1,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,2,0,6,0,0,1,2,1,0,1,0,0,2,0,0,0,0,0,1,0
"OTU_23098",1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2,3,0,0,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_1462",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,1,1,2,1,0,3,0,0,0,0,0,1,0,0,3,1,1,1,2,3,2,1,2,1,0,2,3,2,0,0,1,0,0,3,3,0,1,5,2,0,1,0,0,0,1,1,0,0,0,0,0,1,2,2,1,1,1,0,0,2,0,1,0,0,0,0,0
"OTU_104",15,3,20,0,0,2,3,4,1,5,9,6,2,1,3,1,0,0,1,0,0,0,3,1,1,13,8,2,4,33,3,4,0,1,3,0,5,2,0,2,4,2,3,3,4,2,1,3,1,2,1,2,2,5,5,9,6,11,6,2,7,6,4,4,7,5,3,5,3,9,13,10,10,13,9,3,10,8,3,1,0,0,1,0
"OTU_1765",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,2,0,0,4,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0
"OTU_282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"OTU_21686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"OTU_478",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,2,2,1,4,0,1,3,1,0,0,0,0,0,0,0,0,0
"OTU_49",19,1,37,0,0,0,1,0,0,7,10,2,12,1,0,0,0,0,0,0,0,0,0,0,0,6,9,3,4,16,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,0,0,2,5,3,1,0,3,3,1,2,0,2,3,3,3,2,5,3,6,1,3,10,3,4,3,9,8,17,49,62,104,113,28,169,0
"OTU_96",0,0,0,0,1,0,0,0,1,0,0,1,0,3,3,3,0,7,0,0,5,2,2,1,3,1,1,2,1,0,6,1,5,10,7,10,6,10,7,7,6,7,16,9,11,22,12,15,13,5,5,5,9,14,3,11,13,13,7,8,14,11,13,7,15,14,5,5,5,2,0,2,0,2,4,1,1,1,1,0,0,0,1,0
"OTU_20040",0,0,0,3,1,2,2,1,1,2,3,0,4,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_909",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0
"OTU_7324",1,0,0,2,0,1,0,1,1,3,2,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1274",0,0,0,0,0,0,1,0,2,0,0,1,1,0,2,0,0,0,3,1,0,3,4,2,1,0,6,0,1,2,2,2,2,2,0,2,3,3,2,2,3,1,1,2,2,1,0,3,1,0,2,4,2,1,2,3,4,1,4,1,2,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0
"OTU_1033",0,0,1,1,0,0,0,0,0,0,2,0,4,1,0,4,0,0,1,0,1,1,3,1,3,5,3,1,0,2,2,0,3,1,0,3,1,0,0,1,0,0,1,1,3,0,3,0,2,1,0,0,1,0,1,0,3,3,4,0,1,0,0,1,0,0,0,1,2,0,3,1,0,2,3,0,2,0,0,3,0,0,1,0
"OTU_210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,60
"OTU_532",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,2,1,0,1,0,0,1,0,1,1,1,0,1,6
"OTU_139",1,0,11,0,0,0,2,0,1,15,28,6,14,3,2,0,4,3,3,0,3,0,0,1,0,1,2,0,1,1,0,3,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0,1,0,2,0,0,1,0,5,1,1,5,5,1,0,0,1,0,1,2,1,3,5,1,0,6,7,3,1,7,3,4,4,0,3,0,0,0
"OTU_92",12,25,10,5,9,11,20,4,17,7,11,6,15,6,5,4,4,8,3,0,4,4,0,1,3,5,2,6,4,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,4,1,0,1,0,0,0,2,0,1,1,0,2,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"OTU_212",0,0,3,0,1,1,0,1,0,0,1,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,4,3,5,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,2,0,0,3,2,2,0,3,4,3,4,1,2,5,4,0,4,3,1,7,2,1,4,31
"OTU_19283",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3,1,2,2,1,0,0,1,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"OTU_16448",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_10894",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,4,1,0,0,1,0,0,0,1
"OTU_196",1,0,1,4,2,3,2,2,1,2,1,0,0,3,4,2,5,1,3,6,2,0,3,2,2,0,1,0,0,0,1,1,1,2,6,3,3,1,2,1,2,5,1,4,2,1,1,4,3,3,3,2,1,1,0,3,1,1,3,2,1,1,0,1,0,1,2,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0
"OTU_500",0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,2,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0
"OTU_258",5,0,6,3,1,4,7,5,1,7,3,1,1,0,2,1,1,0,3,2,0,2,1,1,0,0,0,0,1,3,1,1,0,0,1,3,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,2,0,0,1,2,3,0,0
"OTU_394",4,2,4,3,4,2,1,0,2,0,0,0,1,0,2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_475",1,0,3,0,1,0,0,2,3,0,2,0,0,1,0,1,1,0,1,0,0,3,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_16768",0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,1,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,2,1,0,5,2,0,1,2,0,2,1,6,1,0,0,3,0,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_417",0,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,3,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,3,1,3,5,1,1,0,0,1
"OTU_484",0,0,1,2,0,6,0,4,0,2,0,0,1,1,3,0,2,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_30038",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"OTU_424",1,0,2,1,0,1,1,0,1,0,1,0,2,0,0,1,1,0,0,2,0,1,0,0,1,1,2,4,0,2,1,0,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,1,1,3,0,3,2,0,0,0
"OTU_9540",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,2,1,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,0,1,0,0,2,0,0,0
"OTU_115",0,0,3,3,0,1,2,2,1,1,4,5,1,3,2,1,1,2,5,1,3,4,2,1,4,2,0,1,0,5,4,2,3,3,5,9,2,0,10,1,7,7,8,10,3,4,6,7,1,0,1,4,4,5,7,6,1,10,5,4,3,2,3,3,5,4,12,2,5,4,7,10,2,5,3,7,2,10,7,10,11,14,3,0
"OTU_769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,5,2,1,0,3,3,1,2,5,1,2,1,0,0,0,0,0,0,0,0,1,0
"OTU_2310",0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,3,1,1,1,4,4,0,2,5,3,1,1,4,2,2,1,1,1,0,0,3,3,4,0,2,1,1,1,1,2,4,0,7,0,1,1,3,2,1,0,1,3,1,0,6,4,0,0,0,1,1,3,3,0,0,2,1,1,2,0,0,0,2,1,0,0,0
"OTU_12",83,70,16,10,16,8,14,11,11,20,21,77,61,26,22,23,30,52,44,27,60,59,47,48,32,106,100,137,151,49,27,20,23,16,28,23,25,20,22,37,20,23,48,21,16,18,24,9,15,19,11,18,19,25,15,29,21,41,32,32,23,22,15,27,31,37,20,29,21,28,22,23,23,31,17,25,22,18,19,21,21,13,26,3
"OTU_557",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_48",2,0,0,4,11,16,7,36,21,20,6,4,9,20,34,32,39,25,30,19,5,10,9,12,5,7,9,7,3,8,11,5,7,15,12,7,17,7,5,7,1,2,1,2,0,1,1,2,1,1,4,0,7,2,3,4,2,1,5,2,3,8,7,0,4,5,11,7,4,2,5,3,1,7,7,4,3,5,3,10,3,1,15,25
"OTU_265",0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,0,2,2,2,1,2,2,2,3,0,1,1,1,2,1,0,1,1,2,5,0,4,3,1,0,0,0,1,1,2,0,0,2,0,4,3,1,0,1,1,1,1,1,0,0,2,1,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"OTU_8671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,0,3,1,0,1,1,2,3,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_8428",0,0,0,1,0,1,0,2,2,0,1,1,0,0,0,1,0,0,2,1,1,1,5,3,3,0,2,0,1,2,6,2,1,1,1,1,0,0,0,2,0,0,0,1,0,2,0,1,1,2,1,1,4,1,5,3,1,2,3,7,2,3,3,3,2,2,9,2,4,1,3,3,1,2,2,6,2,5,1,2,4,0,0,1
"OTU_387",0,4,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,4,2,0,2,2,1,0,1,1,0,0,1,0,0,0,1,1,1,1,2,0,1,0,4,1,2,3,2,1,2,1,1,0,0,0,1,0,1,2,1,3,0,0
"OTU_480",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,1,0,0,0,0,1,0,4,0,3,0,1,3,1,0,4,1,0,0,0,4,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0
"OTU_697",1,0,10,2,0,0,0,0,3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
